DYNAR_COD;CATEGORIA;BITOLA;PARKER_EQUIV;GATES_EQUIV;SITUACAO
AAAF 38X1.1/4 BSP;CONEXAO;;;;Analise Tecnica
AAAM 10X1/2 NPT;CONEXAO;;;;Analise Tecnica
AAAM 10X1/4 BSPT;CONEXAO;;;;Analise Tecnica
AAAF 14X3/4 UNF;CONEXAO;;;;Analise Tecnica
AAAF 14X3/8 BSP;CONEXAO;;;;Analise Tecnica
AAAF 14X3/8 NPT;CONEXAO;;;;Analise Tecnica
AAAF 20X3/8 BSP;CONEXAO;;;;Analise Tecnica
AAAF 20XM27X2;CONEXAO;;;;Analise Tecnica
AAAF 22X1 BSP;CONEXAO;;;;Analise Tecnica
AAAF 38X1.1/4 NPT;CONEXAO;;;;Analise Tecnica
AAAF 38X1.7/8 UNF;CONEXAO;;;;Analise Tecnica
AAAF 38X3/4 BSP;CONEXAO;;;;Analise Tecnica
AAAM 12X1/4 BSPT;CONEXAO;;;;Analise Tecnica
AAAM 12X1/4 NPT;CONEXAO;;;;Analise Tecnica
AAAM 12X3/4 NPT;CONEXAO;;;;Analise Tecnica
AAAF 14X7/8 UNF;CONEXAO;;;;Analise Tecnica
AAAF 14XM20X1.5;CONEXAO;;;;Analise Tecnica
AAAF 15X1/2 BSP;CONEXAO;;;;Analise Tecnica
AAAF 22X1 NPT;CONEXAO;;;;Analise Tecnica
AAAF 22X1.1/16 UNF;CONEXAO;;;;Analise Tecnica
AAAF 22X1.3/16 UNF;CONEXAO;;;;Analise Tecnica
AAAF 38X3/8 BSP;CONEXAO;;;;Analise Tecnica
AAAF 38XM48X2;CONEXAO;;;;Analise Tecnica
AAAF 42X1.1/2 BSP;CONEXAO;;;;Analise Tecnica
AAAF 8X1/2 UNF;CONEXAO;;;;Analise Tecnica
AAAF 8X1/4 BSP;CONEXAO;;;;Analise Tecnica
AAAF 8X1/4 NPT;CONEXAO;;;;Analise Tecnica
AAAF 15X1/2 NPT;CONEXAO;;;;Analise Tecnica
AAAF 15X1/4 BSP;CONEXAO;;;;Analise Tecnica
AAAF 15X1/4 NPT;CONEXAO;;;;Analise Tecnica
